product url,product name,product price,rating,number of reviews,asin,description,manufacturer,product description
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg11_1?ie=UTF8&adId=A09017841YW5HI6F6YZBD&url=%2FUrban-Tribe-Laptop-Backpack-Accelerator%2Fdp%2FB01M6WLGH0%2Fref%3Dsr_1_161_sspa%3Fkeywords%3Dbags%26qid%3D1653393356%26sr%3D8-161-spons%26psc%3D1&qualifier=1653393356&id=65495407200145&widgetName=sp_atf_next,"Urban Tribe Accelerator 30L Laptop Backpack with 15.6"" compartment for Office/Business/Travel/College, Casual Bag for Men and Women, Black  ",1534,4.1,347,B01M6WLGH0,,,
https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg11_1?ie=UTF8&adId=A0910309BEHVLPWI1AK6&url=%2FStrabo-Business-Backpack-Resistant-Warranty%2Fdp%2FB09V5F12JW%2Fref%3Dsr_1_162_sspa%3Fkeywords%3Dbags%26qid%3D1653393356%26sr%3D8-162-spons%26psc%3D1%26smid%3DA2RYUDPXWQUWC3&qualifier=1653393356&id=65495407200145&widgetName=sp_atf_next,Strabo Nexa 32 L Laptop Office/School/Travel/Business Backpack Water Resistant /Fits Up to 15.6 Inch Laptop with 1 Year Warranty  ,799,5.0,8,B09V5F12JW,"High Quality, Durable and Water Repellant FabricMesh pockets on both sides to accommodate your water bottle and umbrellaFront storage pocket keeps smaller items neatly organized and easy to accessEasy To Access Side Pocket,Top Grab HandleTwo spacious compartments with padded protective pouch for a 15 inch Laptop + Organizer",Strabo,"Strabo Nexa is a classy Backpack, ergonomically designed for all ages, genders and purposes which houses everything in two large compartments & one exterior pocket.This backpack is especially designed for today's fast paced world,where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips."
https://www.amazon.in//xcluma-Diaper-Changing-Mother-Handbag/dp/B07PJX7KJ9/ref=sr_1_163?keywords=bags&qid=1653393356&sr=8-163,xcluma Baby Diaper Nappy Changing Baby Diaper Bag Mother Bag Mummy Bag Handbag (4 Pcs Set -Dark Blue)  ,899,4.3,1166,B07PJX7KJ9,,,
https://www.amazon.in//Leather-14Inch-Messenger-Detachable-Shoulder/dp/B09XJBQCG4/ref=sr_1_164?keywords=bags&qid=1653393356&sr=8-164,Fur Jaden Vegan Leather 14Inch Laptop Messenger Bag with Detachable Shoulder Strap for Men and Women  ,1199,4.7,4,B09XJBQCG4,"Style: This stylish yet utilitarian leatherette laptop messenger bag can be used for corporate travel as well as for daily office use. It has been designed around the workflows of executives, creatives, travellers and commuters.Dual Grab Handles: This sleek laptop messenger bag is equipped with padded handles which helps reduce the load bearing on your hands making it comfortable to carry around for longer durations.Adjustable & Detachable Shoulder Strap: Fur Jaden messenger comes with a vegan leather shoulder strap which is adjustable as well as detachable. This gives users an additional option to carry the bag around.Laptop Compatibility: All 14Inch Laptops. Dimensions: 40 CM (L) x 27 CM (H) x 5 CM (W)Warranty: 6 Month Manufacturer Warranty Against Manufacturing DefectsWater Resistant - Designed to withstand light rain and accidental spills.",Fur Jaden,"Style: This stylish yet utilitarian leatherette laptop messenger bag can be used for corporate travel as well as for daily office use. It has been designed around the workflows of executives, creatives, travellers and commuters. Dual Grab Handles: This sleek laptop messenger bag is equipped with padded handles which helps reduce the load bearing on your hands making it comfortable to carry around for longer durations. Adjustable & Detachable Shoulder Strap: Fur Jaden messenger comes with a vegan leather shoulder strap which is adjustable as well as detachable. This gives users an additional option to carry the bag around. Laptop Compatibility: All 14Inch Laptops. Dimensions: 40 CM (L) x 27 CM (H) x 5 CM (W) Water Resistant - Designed to withstand light rain and accidental spills."
https://www.amazon.in//WildHorn-Leather-inches-Messenger-MB584/dp/B07TTHCC6L/ref=sr_1_165?keywords=bags&qid=1653393356&sr=8-165,WILDHORN Classic Leather 16 inch Laptop Messenger Bag for Men I Office Bags I Travel Bags I Carry Handles with Adjustable Strap I Dimension: L- 16 inch H-12 inch W- 4 inch  ,2899,4.1,156,B07TTHCC6L,,,
https://www.amazon.in//Goatter-Hunter-Leather-Laptop-Messenger/dp/B09QHZYD9K/ref=sr_1_166?keywords=bags&qid=1653393356&sr=8-166,"Goatter Hunter Leather 16"" Inch Laptop Messenger Bag/Office Bag For Men, (Brown)  ",2184,4.5,9,B09QHZYD9K,,,
https://www.amazon.in//Tommy-Hilfiger-Polyester-TH-KENDALL0814/dp/B082PG1X93/ref=sr_1_167?keywords=bags&qid=1653393356&sr=8-167,Tommy Hilfiger Polyester 53 cms Navy + Yellow Gym Shoulder Bag (TH/KENDALL0814)  ,1799,4.1,18,B082PG1X93,"Outer Material: Polyester, Color: Navy + YellowDimensions: 53 cms x 28 cms x 28 cms (LxWxH)Laptop Compatibility: NoWarranty type: Manufacturer; 1 year",Brand Concepts Ltd,Tommy Hilfiger goods are manufactured with detail to perfection & high quality materials are used.
https://www.amazon.in//Motherly-Multipurpose-Changing-Stroller-Flamingo/dp/B08C4Y2KMW/ref=sr_1_168?keywords=bags&qid=1653393356&sr=8-168,Motherly Multipurpose Diaper Handbag with Changing Mat & Stroller Hook Set (Flamingo)  ,1699,4.4,286,B08C4Y2KMW,,,
https://www.amazon.in//Lunars-Router-Resistant-Raincover-Organiser/dp/B08YR63B9M/ref=sr_1_169?keywords=bags&qid=1653393356&sr=8-169,"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)  ",849,3.8,645,B08YR63B9M,★WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 19 inch X 13 inch X 8.5 inch. Capacity : 35 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects,"Akshaya Rubbers, Hebbal Industrial Area, Mysore","Lunar's Laptop Travel Bag : A Spacious and durable laptop backpack for travel, casual usage, school / college / office and travel. Size: 19 inch X 13inch X 8.5 inch. Capacity: 35 liters. This travel bagpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. It carries 12 months warranty for any manufacturing defects. This “MAKE IN INDIA” Product features 2 large zippered compartments, padded laptop sleeve for upto 15.6"" laptops, internal organiser, 2 water bottle /umbrella pockets, padded handle, inbuilt raincover,3D air ventilated back panel for preventing sweat, heavy duty zippers and sliders, and adjustable straps. Ideal bag for boys, girls, men and women"
https://www.amazon.in//Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C/ref=sr_1_170?keywords=bags&qid=1653393356&sr=8-170,Wesley Office Laptop Bag Briefcase Notebook Professional Business 15.6 Inch Briefcase Messenger Sling College Bag Water Resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men… (Grey)  ,448,4.3,3775,B08K7PN23C,,,
